id,File,Class,UF,Comarca,Date
2.0,VAC0417737_1.txt,0.0,rio grande do sul,bento gonçalves,2013-07-05
3.0,VAC1035213_1.txt,1.0,paraná,londrina,2016-09-28
5.0,VAC0978907_1.txt,0.0,são paulo,bauru,2015-10-09
7.0,VAC0992109_1.txt,0.0,paraná,guarapuava,2016-01-14
9.0,VAC0952104_1.txt,1.0,são paulo,guarulhos,2015-06-26
12.0,VAC0972174_1.txt,0.0,santa catarina,tubarão,2015-06-18
13.0,VAC0993835_1.txt,0.0,goiás,goiânia,2016-08-09
14.0,VAC0640010_1.txt,1.0,paraíba,campina grande,2008-04-30
15.0,VAC0603222_1.txt,1.0,rio grande do norte,natal,2014-12-18
16.0,VAC0817391_1.txt,1.0,são paulo,jundiaí,2015-02-05
17.0,VAC0967706_1.txt,1.0,são paulo,sorocaba,2016-09-12
22.0,VAC0647748_2.txt,1.0,pará,abaetetuba,2016-12-05
24.0,VAC0771908_1.txt,0.0,paraná,centenário do sul,2015-03-13
25.0,VAC0714869_1.txt,1.0,mato grosso do sul,,2015-10-16
32.0,VAC0845454_1.txt,0.0,santa catarina,,2014-10-07
33.0,VAC0990041_1.txt,1.0,pará,cametá,2015-11-24
36.0,VAC0849754_1.txt,0.0,são paulo,,2014-10-29
37.0,VAC0916212_1.txt,0.0,minas gerais,ipatinga,2014-10-01
40.0,VAC1060280_1.txt,1.0,paraná,irati,2016-11-21
41.0,VAC0996839_1.txt,0.0,minas gerais,belo horizonte,2016-12-13
44.0,VAC1044846_1.txt,1.0,são paulo,barretos,2017-03-15
45.0,VAC0517155_1.txt,0.0,paraná,catanduvas,2013-04-25
46.0,VAC0958394_1.txt,0.0,são paulo,ribeirão preto,2015-12-02
47.0,VAC1019371_1.txt,0.0,minas gerais,nova lima,2016-09-12
48.0,VAC0907430_1.txt,0.0,são paulo,ribeirão preto,2015-10-29
51.0,VAC1010386_1.txt,1.0,bahia,irecê,2017-06-12
55.0,VAC1027909_1.txt,0.0,bahia,,2017-03-22
60.0,VAC0941092_1.txt,0.0,paraná,londrina,2015-09-23
64.0,VAC0903930_1.txt,1.0,paraná,ponta grossa,2015-04-13
65.0,VAC0716437_1.txt,0.0,são paulo,taquaritinga,2014-08-28
66.0,VAC0792839_1.txt,0.0,são paulo,ribeirão preto,2015-05-11
68.0,VAC0685158_1.txt,0.0,acre,rio branco,2014-02-28
69.0,VAC0740288_1.txt,0.0,ceará,fortaleza,2016-10-31
70.0,VAC0892970_1.txt,0.0,ceará,fortaleza,2017-05-17
73.0,VAC1009472_1.txt,1.0,paraná,,2016-11-22
74.0,VAC1035928_1.txt,0.0,são paulo,birigui,2016-08-29
78.0,VAC0940161_1.txt,0.0,pará,cametá,2015-06-01
79.0,VAC0793439_1.txt,0.0,santa catarina,criciúma,2014-11-24
80.0,VAC0964630_1.txt,1.0,bahia,,2015-11-03
81.0,VAC0896895_1.txt,0.0,paraná,maringá,2014-12-16
83.0,VAC1078635_1.txt,1.0,são paulo,são paulo,2017-07-20
85.0,VAC0869285_1.txt,0.0,são paulo,bauru,2014-12-05
87.0,VAC0779140_1.txt,0.0,são paulo,são josé dos campos,2014-10-03
89.0,VAC0782502_1.txt,0.0,são paulo,ribeirão preto,2015-05-11
91.0,VAC0864880_1.txt,1.0,santa catarina,xanxerê,2016-06-15
93.0,VAC0596383_1.txt,1.0,são paulo,são josé do rio preto,2014-02-03
95.0,VAC0875921_1.txt,1.0,paraná,curitiba,2008-04-30
96.0,VAC1085324_1.txt,1.0,paraná,,2017-05-17
98.0,VAC1019586_1.txt,0.0,rio grande do norte,natal,2016-11-16
99.0,VAC0960357_1.txt,0.0,sergipe,nossa senhora do socorro,2015-09-08
103.0,VAC0952289_1.txt,0.0,são paulo,jales,2015-09-08
106.0,VAC1034067_1.txt,0.0,são paulo,monte alto,2016-06-14
109.0,VAC0711971_1.txt,1.0,são paulo,santo andré,2014-02-02
