,indenização_count,revisão_count,tarifa_count,file,label
0,1,13,3,../data/VAC0707577_1.txt,revisão
1,0,25,12,../data/VAC0578521_1.txt,revisão
2,0,18,4,../data/VAC0417737_1.txt,revisão
3,0,0,0,../data/VAC1035213_1.txt,
4,0,0,0,../data/VAC0945721_1.txt,
5,0,0,0,../data/VAC0978907_1.txt,
6,0,35,6,../data/VAC0719063_1.txt,revisão
7,0,3,9,../data/VAC0992109_1.txt,tarifa
8,0,15,3,../data/VAC0942197_1.txt,revisão
9,5,0,0,../data/VAC0952104_1.txt,indenização
10,0,5,6,../data/VAC0864543_1.txt,tarifa
11,0,0,0,../data/VAC0967959_1.txt,
12,0,21,6,../data/VAC0972174_1.txt,revisão
13,4,0,0,../data/VAC0993835_1.txt,indenização
14,0,0,5,../data/VAC0640010_1.txt,tarifa
15,0,13,0,../data/VAC0603222_1.txt,revisão
16,0,117,14,../data/VAC0817391_1.txt,revisão
17,0,1,0,../data/VAC0967706_1.txt,revisão
18,11,0,1,../data/VAC0737893_1.txt,indenização
19,0,0,0,../data/VAC0939357_2.txt,
20,2,18,0,../data/VAC0979993_1.txt,revisão
21,0,3,5,../data/VAC0834955_1.txt,tarifa
22,0,22,1,../data/VAC0647748_2.txt,revisão
23,0,6,4,../data/VAC0940890_1.txt,revisão
24,0,5,0,../data/VAC0771908_1.txt,revisão
25,0,8,14,../data/VAC0714869_1.txt,tarifa
26,0,0,0,../data/VAC0982667_1.txt,
27,3,1,0,../data/VAC0875678_1.txt,indenização
28,0,0,0,../data/VAC0811490_1.txt,
29,15,0,0,../data/VAC1068750_1.txt,indenização
30,1,0,0,../data/VAC1004642_1.txt,indenização
31,8,0,12,../data/VAC0646082_1.txt,tarifa
32,0,26,13,../data/VAC0845454_1.txt,revisão
33,0,0,0,../data/VAC0990041_1.txt,
34,0,0,0,../data/VAC0879249_1.txt,
35,1,0,0,../data/VAC1007507_1.txt,indenização
36,0,5,10,../data/VAC0849754_1.txt,tarifa
37,0,1,0,../data/VAC0916212_1.txt,revisão
38,0,0,0,../data/VAC0956685_1.txt,
39,0,0,0,../data/VAC0987156_1.txt,
40,4,0,0,../data/VAC1060280_1.txt,indenização
41,0,3,0,../data/VAC0996839_1.txt,revisão
42,0,0,1,../data/VAC0726647_1.txt,tarifa
43,0,0,0,../data/VAC0967965_1.txt,
44,0,4,1,../data/VAC1044846_1.txt,revisão
45,0,19,9,../data/VAC0517155_1.txt,revisão
46,0,0,0,../data/VAC0958394_1.txt,
47,0,1,0,../data/VAC1019371_1.txt,revisão
48,0,0,0,../data/VAC0907430_1.txt,
49,0,0,0,../data/VAC1074143_1.txt,
50,4,0,0,../data/VAC0981533_1.txt,indenização
51,2,0,0,../data/VAC1010386_1.txt,indenização
52,0,22,8,../data/VAC0916270_1.txt,revisão
53,0,0,0,../data/VAC0925826_1.txt,
54,0,0,0,../data/VAC0616397_1.txt,
55,5,0,0,../data/VAC1027909_1.txt,indenização
56,0,0,0,../data/VAC0993015_1.txt,
57,6,0,0,../data/VAC0681842_1.txt,indenização
58,0,0,0,../data/VAC0902178_1.txt,
59,0,12,0,../data/VAC0030379_1.txt,revisão
